Fbb,Cbb,Gbb,Dbb,Abb,Ebb,Bbb,Fb,Cb,Gb,Db,Ab,Eb,Bb,F,C,G,D,A,E,B,F#,C#,G#,D#,A#,E#,B#,F##,C##,G##,D##,A##,E##,B##,composer,periode,title_file,work_group,opus,no,mov,title,date,instruments
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,21.0,68.0,178.0,256.0,82.0,136.0,163.0,65.0,7.0,25.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fauré,1,les_roses_dispahan_39_4,4 mélodies,39.0,4.0,,Les roses d'Ispahan,1884,vocal
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,17.0,57.0,110.0,37.0,32.0,53.0,54.0,17.0,0.0,6.0,14.0,12.0,5.0,13.0,24.0,9.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fauré,1,Le_secret_23_3,3 mélodies,23.0,3.0,,Le Secret,1879,vocal
0.0,0.0,0.0,0.0,2.0,4.0,19.0,59.0,227.0,295.0,150.0,235.0,350.0,606.0,227.0,104.0,94.0,193.0,72.0,38.0,54.0,17.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fauré,1,nocturne-in-eb-minor-op-33-nr-1-gabriel-faure,3 nocturnes,33.0,1.0,,Nocturne,1875,piano
0.0,0.0,0.0,0.0,0.0,1.0,6.0,48.0,196.0,245.0,260.0,268.0,321.0,458.0,266.0,140.0,188.0,151.0,46.0,40.0,21.0,19.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fauré,1,nocturne-no-4-op-36-gabriel-faure,,36.0,,,Nocturne n°4,1884,piano
0.0,0.0,0.0,0.0,0.0,0.0,4.0,34.0,2.0,30.0,126.0,233.0,231.0,131.0,118.0,219.0,141.0,72.0,43.0,107.0,98.0,48.0,32.0,56.0,26.0,9.0,13.0,0.0,8.0,7.0,0.0,0.0,0.0,1.0,0.0,Fauré,1,nocturne-nr3-en-la-bemol-majeur-op-33-gabriel-faure,3 nocturnes,33.0,3.0,,Nocturne,1883,piano
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,7.0,11.0,12.0,48.0,68.0,73.0,53.0,30.0,65.0,35.0,0.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,Fauré,1,nocturne_2_33_2,3 nocturnes,33.0,2.0,,Nocturne,1881,piano
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,9.0,74.0,128.0,214.0,83.0,64.0,120.0,36.0,8.0,13.0,12.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fauré,1,Romance_sans_paroles_Op_117_3,3 romances sans paroles,17.0,3.0,,romance sans paroles,1863,piano
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,13.0,21.0,143.0,240.0,253.0,171.0,107.0,156.0,90.0,20.0,20.0,18.0,15.0,7.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fauré,1,Sylvie_2_op6,3 mélodies,6.0,3.0,,Sylvie,1878,vocal
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,20.0,19.0,23.0,141.0,121.0,59.0,67.0,90.0,75.0,15.0,6.0,2.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fauré,1,tu_es_petrus,,,,,Tu es Petrus,1872,vocal
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,20.0,20.0,36.0,86.0,179.0,229.0,219.0,233.0,343.0,416.0,237.0,145.0,166.0,119.0,62.0,37.0,24.0,8.0,10.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,Fauré,1,Violin_sonata_1_13,Sonate pour violon n°1,13.0,,2.0,Sonate pour violon n°1,1876,chamber
