composer,periode,title_file,work_group,opus,no,mov,title,date,instruments,shift_binomial,shift_binomial_tritones,shift_gamma,weights_binomial,weights_binomial_tritones,weights_gamma,probs_binomial,rate_gamma
Fauré,2,A_clymene_58_4,5 mélodies,58.0,4.0,,A Clymène,1891,vocal,19,17,21,"[6.33180020e-01 1.28770456e-01 1.09300585e-01 5.70814903e-04
 5.91218510e-02 6.90562734e-02]","[0.29005267 0.44481555 0.0420428  0.00270782 0.05640579 0.15850034
 0.00343199 0.00204304]","[7.07296627e-01 2.59583980e-01 7.27202295e-03 6.55393340e-04
 5.83387817e-04 2.46085889e-02]",0.5456367735003798,0.887302908538238
Fauré,2,barcarolle_7_90,,90.0,,,Barcarolle n°7,1905,piano,18,18,18,"[2.78873900e-03 7.17906380e-01 6.91741931e-04 2.04327552e-01
 4.81630592e-02 2.61225279e-02]","[0.40018321 0.19526757 0.15094032 0.0016577  0.14730776 0.09999907
 0.0037232  0.00092118]","[4.29538595e-01 5.40698612e-01 4.20698096e-04 1.03984692e-02
 1.86015662e-02 3.42059478e-04]",0.5889330354466024,0.6664717121346165
Fauré,2,Bonne_chanson_4_61,La bonne chanson,61.0,4.0,,J'allais par les chemins perfides,1892,vocal,15,14,10,[0.54508272 0.37142041 0.06610995 0.00314296 0.00169462 0.01254934],"[0.36479682 0.1981554  0.09256119 0.00358794 0.10762561 0.21382406
 0.00102091 0.01842809]",[0.29901976 0.68465233 0.00740384 0.00324329 0.00167656 0.00400421],0.8365866725844832,0.619422906357324
Fauré,2,Dans_la_foret_de_septembre_85_1,3 mélodies,85.0,1.0,,Dans la forêt de Septembre,1902,vocal,24,24,29,"[3.68850077e-02 7.11090253e-01 3.31912290e-04 9.62538984e-02
 1.55129910e-01 3.09018672e-04]","[3.35776308e-01 5.26626136e-01 2.82222696e-02 5.28716620e-02
 1.71096805e-03 8.61757635e-04 5.36040206e-02 3.26878029e-04]","[9.16217997e-01 7.11840236e-02 4.42714693e-04 4.66088719e-03
 7.23181549e-03 2.62562010e-04]",0.1342659155581412,0.46226538696964037
Fauré,2,dolly_suite_56_1,Dolly Suite,56.0,1.0,,Dolly suite Berceuse,1897,piano,15,15,15,[0.20062509 0.53134106 0.01149908 0.12399266 0.07023141 0.0623107 ],"[0.19907664 0.52115853 0.01141852 0.13248232 0.07131305 0.04997544
 0.00072328 0.01385223]",[0.50843269 0.48518002 0.0014016  0.00129655 0.00057312 0.00311602],0.30466716959239143,0.6912404833327882
Fauré,2,dolly_suite_jardin_Le_jardin_de_dolly_56_3,Dolly Suite,56.0,3.0,,Dolly suite Le jardin de Dolly,1897,piano,14,16,14,"[6.52045230e-01 2.31961377e-03 2.39557491e-01 1.58429972e-04
 3.07614899e-02 7.51577454e-02]","[0.3953999  0.14158771 0.00262265 0.12528316 0.20114454 0.116804
 0.00058328 0.01657476]","[5.06066123e-01 4.58236856e-01 5.52795080e-03 5.72169952e-04
 4.44258481e-04 2.91526420e-02]",0.489363981075664,0.3863478113278618
Fauré,2,dolly_suite_kitty_valse_56_4,Dolly Suite,56.0,4.0,,Dolly suite Kitty-valse,1897,piano,22,22,22,"[4.63443927e-01 4.98384517e-01 3.07589327e-04 3.23876648e-02
 5.35882262e-03 1.17479316e-04]","[0.11485769 0.50799113 0.07194253 0.16854149 0.11427944 0.02027552
 0.00096691 0.00114529]","[5.26212837e-01 4.70625715e-01 3.52854314e-04 1.41505533e-03
 1.10900205e-03 2.84536091e-04]",0.7790962011090499,0.6245356116005811
Fauré,2,dolly_suite_le_pas_espagnol_56_6,Dolly Suite,56.0,6.0,,Dolly suite Le pas espagnol,1897,piano,19,20,19,"[4.97860092e-01 4.89875994e-01 6.42255261e-04 9.08965335e-03
 4.75895951e-04 2.05611036e-03]","[0.37930421 0.38840209 0.00450339 0.16856651 0.0400611  0.01644219
 0.00062133 0.00209918]","[5.07985608e-01 4.91025055e-01 2.01556821e-04 3.38804836e-04
 2.57445857e-04 1.91530155e-04]",0.6361671772024962,0.9241393613807548
Fauré,2,dolly_suite_miaou_56_2,Dolly Suite,56.0,2.0,,Dolly suite Miaou,1897,piano,19,20,19,"[4.76355630e-01 4.73852359e-01 4.45577000e-04 2.98767322e-02
 2.05677424e-03 1.74129275e-02]","[0.29681932 0.39125949 0.00143558 0.23137736 0.03511549 0.03426079
 0.00092685 0.00880512]","[5.04488063e-01 4.92961989e-01 7.23324235e-04 5.07827887e-04
 4.13640305e-04 9.05155249e-04]",0.5771624208079525,0.4903384077949248
Fauré,2,dolly_suite_tendresse_56_5,Dolly Suite,56.0,5.0,,Dolly suite Tendresse,1897,piano,22,24,28,[0.00851769 0.69981015 0.02435799 0.11982079 0.13673299 0.01076039],"[0.28497872 0.33427636 0.0548065  0.04649246 0.22242411 0.00549709
 0.05060012 0.00092464]",[0.84995199 0.12260953 0.00172186 0.01257601 0.0118173  0.00132331],0.36277488407671754,0.5601107140206327
Fauré,2,ecce_fidelis_servus_54,,54.0,,,Ecce fidelis servus,1890,vocal,21,21,19,"[5.16063529e-01 4.83452344e-01 8.76356496e-05 2.54023863e-04
 8.24650173e-05 6.00027883e-05]","[3.44986531e-01 4.56280452e-01 6.38952510e-02 1.31743267e-01
 3.89737960e-04 1.88282916e-03 4.33478538e-04 3.88452812e-04]","[3.37608828e-01 6.60022454e-01 4.12929878e-04 9.77712329e-04
 6.97554073e-04 2.80521559e-04]",0.6885468700788107,1.5562306412213662
Fauré,2,En_sourdine_58_2,5 mélodies,58.0,2.0,,En sourdine,1891,vocal,22,23,22,"[1.43560964e-01 4.74877005e-01 1.48403997e-01 2.31649748e-01
 2.65576775e-04 1.24270901e-03]","[0.40991176 0.26376158 0.04110889 0.21107653 0.00134393 0.07040414
 0.00165728 0.00073589]","[4.87971111e-01 5.10078506e-01 4.30872444e-04 6.76027465e-04
 5.27553028e-04 3.15929809e-04]",0.21393792351781973,0.7461562063085803
Fauré,2,Fleurs_d_or_duo_72,,72.0,,,Fleurs d'or,1896,vocal,19,18,26,[0.00173088 0.65675085 0.00333934 0.28139898 0.00132624 0.05545371],"[0.00196141 0.36023558 0.13956278 0.16380408 0.12762833 0.20223249
 0.00199258 0.00258276]","[7.11639925e-01 2.82172014e-01 9.22514685e-04 3.14039684e-03
 1.53455898e-03 5.90590976e-04]",0.6604599197892375,0.7099641805447982
Fauré,2,green_58_3,5 mélodies,58.0,3.0,,Green,1891,vocal,22,22,29,"[2.69541974e-03 7.70730390e-01 4.30010540e-04 1.11114783e-01
 1.14647741e-01 3.81655960e-04]","[1.32841061e-01 3.56691783e-01 2.69375804e-01 7.64284689e-04
 1.89411252e-01 7.33468633e-04 4.98476744e-02 3.34672180e-04]","[9.60898694e-01 2.93990584e-02 1.32838256e-04 4.24546084e-03
 5.20715696e-03 1.16791207e-04]",0.6158554958053218,0.37664149827513255
Fauré,2,Impromptu_4_91,,91.0,,,Impromptu n°4,1905,piano,21,21,29,[0.02609105 0.73948064 0.00988155 0.02639175 0.19565361 0.0025014 ],"[1.23329220e-01 6.49430732e-01 5.10055858e-02 3.46336260e-03
 1.09896522e-01 3.25245869e-04 6.21686165e-02 3.80714809e-04]","[8.45521323e-01 1.37672824e-01 1.23015736e-03 7.33444678e-03
 7.43342757e-03 8.07821628e-04]",0.4420124363798303,0.3469772618372731
Fauré,2,Larmes_51_1,4 mélodies,51.0,1.0,,Larmes,1888,vocal,18,19,25,[0.31739414 0.58368238 0.0015411  0.08783161 0.0086305  0.00092028],"[0.18829316 0.20485338 0.05833562 0.11435136 0.20718752 0.1664564
 0.05784279 0.00267977]",[0.71956723 0.26713953 0.00215409 0.00662443 0.00337025 0.00114447],0.8995665675421246,0.7664411459428799
Fauré,2,Le_don_silencieux_92,,92.0,,,Le don silencieux,1906,vocal,15,15,17,[0.52967619 0.42529074 0.00137629 0.00054331 0.00557454 0.03753893],"[0.16110611 0.48250534 0.00327996 0.14933754 0.08327499 0.0877819
 0.00088015 0.03183401]","[6.71818723e-01 2.93391108e-01 6.10258918e-03 4.65665124e-04
 3.56281294e-04 2.78656334e-02]",0.7773534607141208,1.201465183338422
Fauré,2,Le_parfum_impérissable_76_2,2 mélodies,76.0,1.0,,Le parfum impérissable,1897,vocal,16,16,15,"[7.38191884e-01 2.79908740e-03 1.98254675e-01 3.45457775e-04
 1.86132115e-02 4.17956848e-02]","[0.33782543 0.21006918 0.0389874  0.03474307 0.20866324 0.08357049
 0.00107142 0.08506975]","[5.45401779e-01 3.84939140e-01 5.53132516e-03 6.03143554e-04
 4.19310206e-04 6.31053017e-02]",0.6222413449789129,0.5002223635197305
Fauré,2,Le_plus_doux_chemin_87_1,2 mélodies,87.0,1.0,,Le plus doux chemin,1904,vocal,22,21,22,"[5.31147866e-01 4.65602404e-01 1.36640331e-04 7.88169768e-04
 2.24237860e-03 8.25415824e-05]","[0.3863654  0.33050096 0.19870652 0.07987464 0.00197714 0.00133995
 0.00084858 0.0003868 ]","[5.43091475e-01 4.55767435e-01 2.54034913e-04 4.01005909e-04
 3.24767337e-04 1.61282577e-04]",0.7174751218780002,1.2108844738264153
Fauré,2,Mandoline_58_1,5 mélodies,58.0,1.0,,Mandoline,1891,vocal,17,18,17,[0.00205995 0.61902694 0.09236704 0.19347025 0.08656151 0.00651431],"[0.15245403 0.39776877 0.11014582 0.13765197 0.19771113 0.00196989
 0.00101367 0.00128473]","[4.04118901e-01 5.50446512e-01 6.95119131e-04 2.39333774e-02
 2.03277553e-02 4.78334572e-04]",0.493553328661477,0.758513473808876
Fauré,2,maria_mater_graciae_47_2,2 mélodies,47.0,2.0,,Maria Mater Gratiae,1888,vocale,21,22,21,"[4.82821634e-01 5.16084198e-01 2.21738137e-04 4.42480185e-04
 2.70899904e-04 1.59049613e-04]","[0.21872048 0.4726192  0.02363691 0.18275418 0.08261112 0.01825349
 0.00057984 0.00082477]","[4.80160490e-01 5.17256814e-01 6.18923073e-04 1.05446493e-03
 5.04453685e-04 4.04854476e-04]",0.6287512199172268,1.1945533167733302
Fauré,2,Nocturne n°7,,74.0,,,Nocturne n°7,1897,piano,15,16,10,[0.68255338 0.1863545  0.00950042 0.00259505 0.00155531 0.11744135],"[0.39671042 0.14149447 0.0296001  0.30141023 0.00218689 0.02895898
 0.00079592 0.09884299]",[0.31946115 0.63849499 0.01502961 0.00504702 0.0016597  0.02030754],0.48116077429289555,0.2782890505527099
Fauré,2,nocturne-no6gfaure-op63,,63.0,,,Nocturne n°6,1894,piano,18,18,7,[0.72520959 0.00815678 0.11228414 0.00411151 0.02754168 0.1226963 ],"[5.47314726e-01 2.75897735e-03 1.68557623e-03 9.82612840e-03
 1.56776307e-01 2.52714876e-01 4.57491142e-04 2.84659175e-02]","[1.67577700e-01 8.23668720e-01 4.72733949e-03 5.95662606e-04
 4.66779518e-04 2.96379886e-03]",0.7304103538254677,0.5846728140028319
Fauré,2,Papillon_77,,77.0,,,Papillon,1884,chamber,15,16,17,[0.48528337 0.47313821 0.00208178 0.00159724 0.01223296 0.02566645],"[0.21982989 0.45291055 0.00630686 0.07340828 0.17384986 0.06042864
 0.00077121 0.01249472]","[6.32915142e-01 3.45929449e-01 4.47031878e-03 6.62863978e-04
 4.84789281e-04 1.55374377e-02]",0.6996071403547574,0.8530426804491182
Fauré,2,Pelleas_et_melisande_80_prelude,Pélléas et mélisande suite,80.0,,1.0,Prélude,1898,orchestral,17,16,18,"[5.27634875e-01 4.57949239e-01 1.36390019e-02 3.44196922e-04
 2.43746020e-04 1.88940896e-04]","[0.3999368  0.26171332 0.24463829 0.08839461 0.00104062 0.00277607
 0.00088586 0.00061442]","[5.99169958e-01 3.86897669e-01 7.75528074e-03 5.23076619e-04
 3.68095365e-04 5.28591996e-03]",0.7631839722837952,1.181309474119758
Fauré,2,pieces-breves-8-nocturne-gabriel-faure,8 pièces brèves,84.0,8.0,,Nocturne n°8,1902,piano,22,21,28,[0.01191131 0.69957669 0.0041     0.09466135 0.17487342 0.01487724],"[3.02570588e-01 6.39779732e-01 2.76988526e-03 9.93461568e-04
 7.31995184e-03 2.88479914e-04 4.60551189e-02 2.22782492e-04]","[8.73591710e-01 1.12778667e-01 8.03699224e-04 4.65879150e-03
 7.64966596e-03 5.17466234e-04]",0.44951456327514033,0.41357646733443104
Fauré,2,Pieces_breves_fugue_84_6,8 pièces brèves,84.0,6.0,,Fugue,1869,piano,17,16,16,"[5.05305155e-01 4.71296702e-01 2.76166545e-04 1.36110408e-02
 8.16759435e-03 1.34334176e-03]","[0.45633331 0.31102502 0.19283006 0.00177069 0.03458534 0.00155021
 0.00140801 0.00049735]","[4.41120187e-01 5.55488852e-01 2.88020312e-04 1.11908736e-03
 1.76891125e-03 2.14941999e-04]",0.6372258837813815,1.2134734731168342
Fauré,2,quintette_1_89,Quintette pour piano et cordes n°1,89.0,,,Quintette pour piano et cordes n°1,1905,chamber,17,18,15,[0.47054527 0.47045732 0.03664432 0.00818997 0.00953506 0.00462806],"[0.3776866  0.23598495 0.16980863 0.17615056 0.02299099 0.01305001
 0.00154087 0.00278739]","[3.65029563e-01 6.26344728e-01 6.49227479e-04 3.42773722e-03
 4.02650907e-03 5.22234336e-04]",0.7743136561678238,0.7387396424389036
Fauré,2,Romance_violoncelle_69,,69.0,,,Romance,1894,chamber,14,13,10,"[4.70418741e-01 5.25122631e-01 4.35435085e-04 2.11259014e-03
 1.69761571e-03 2.12987070e-04]","[0.19336136 0.38918144 0.15843067 0.07126959 0.05530708 0.13025551
 0.00150257 0.00069178]","[2.37723714e-01 7.50943203e-01 1.24139001e-03 6.19487125e-03
 3.17586673e-03 7.20955134e-04]",0.6273811233080626,1.4236699018863703
Fauré,2,Shylock_Madrigal_57,Shylock suite,57.0,,3.0,Madrigal,1889,orchestral,19,20,18,"[4.34624489e-01 5.46162748e-01 2.12046481e-04 1.61525403e-02
 2.73708344e-03 1.11092612e-04]","[0.15531121 0.40327564 0.07065745 0.33406291 0.00194454 0.0326409
 0.00150505 0.00060229]","[3.62034784e-01 6.22871237e-01 5.10482431e-04 7.29751451e-03
 6.92730963e-03 3.58672032e-04]",0.6037464510920695,1.2216500636696113
Fauré,2,spleen_51_3,4 mélodies,51.0,3.0,,Spleen,1888,vocal,16,16,15,"[4.75642077e-01 5.22058960e-01 1.69133246e-04 7.53336441e-04
 1.26607179e-03 1.10421240e-04]","[5.89917795e-01 1.62776528e-01 1.35369170e-01 5.45474804e-04
 3.48083567e-02 7.45848632e-02 1.54666543e-03 4.51146320e-04]","[3.95431924e-01 5.99211685e-01 6.56188171e-04 1.72150678e-03
 2.61350776e-03 3.65187758e-04]",0.7722017764272858,1.1181756988545952
Fauré,2,tantum_ergo_65_2,2 motets,65.0,2.0,,Tantum ergo,1894,vocal,16,15,15,"[5.76436836e-01 3.81835298e-01 3.33435804e-03 3.63192957e-04
 1.95042320e-04 3.78352732e-02]","[0.2357978  0.45703168 0.0044184  0.08386263 0.05967415 0.15621122
 0.00052837 0.00247575]","[4.72539067e-01 5.09128444e-01 5.80840950e-03 4.94929414e-04
 3.35870633e-04 1.16932790e-02]",0.6081265188914246,0.4132624681007582
Fauré,2,Valse_caprice_3_59,,59.0,,,Valse-Caprice n°3,1893,piano,23,24,27,[0.10753069 0.63649903 0.02209432 0.08453427 0.14683148 0.00251022],"[0.16851983 0.45593349 0.0447402  0.17710941 0.10055582 0.00279624
 0.04964795 0.00069706]",[0.80358    0.16898598 0.00322648 0.01384319 0.00910878 0.00125556],0.37481539897794525,0.4269688795338085
Fauré,3,Barcarolle 11,,105.0,,,Barcarolle n°11,1915,piano,19,19,19,[0.40146663 0.26082781 0.09815204 0.03540792 0.11843904 0.08570656],"[0.40251898 0.24880718 0.09585937 0.03626487 0.08325822 0.09877932
 0.03244251 0.00206955]",[0.49575004 0.49574278 0.00102157 0.00317824 0.00350022 0.00080715],0.3988023642034834,0.3384058029479508
Fauré,3,Barcarolle 13,,116.0,,,Barcarolle n°13,1921,piano,18,19,18,[0.07705069 0.55535251 0.00211314 0.12364154 0.13726204 0.10458009],"[0.23796315 0.36882509 0.00300261 0.08717054 0.19030715 0.10886781
 0.00135942 0.00250423]",[0.49665262 0.49719748 0.00136862 0.0016438  0.00177721 0.00136027],0.5017410798029641,0.24314071243263902
Fauré,3,Barcarolle 8,,96.0,,,Barcarolle n°8,1906,piano,20,20,34,[0.02000128 0.69277971 0.00303363 0.09190087 0.1541983  0.03808621],"[0.13957074 0.31783597 0.06207195 0.00233686 0.21170512 0.19485164
 0.07066638 0.00096134]",[0.90167935 0.06862042 0.00121799 0.0160248  0.01141615 0.00104129],0.7349812705684152,0.5226738728797524
Fauré,3,barcarolle-9e-op-101-gabriel-faure,,101.0,,,Barcarolle n°9,1909,piano,17,17,17,"[5.01997617e-01 2.17138000e-01 1.69205605e-01 2.37955474e-04
 6.06802729e-02 5.07405496e-02]","[0.49358052 0.2199126  0.1763339  0.00211412 0.03877304 0.05101384
 0.01753435 0.00073762]","[4.44571224e-01 5.42740356e-01 4.40180328e-04 1.37508008e-03
 1.05340425e-02 3.39116983e-04]",0.4277846184297657,0.526179795955863
Fauré,3,barcarolle-op-104-no-2-gabriel-faure,2 pièces,104.0,2.0,,Barcarolle n°10,1913,piano,18,17,18,"[6.20048608e-01 8.86067405e-02 1.83094720e-01 3.07177252e-04
 6.00712939e-02 4.78714606e-02]","[0.41038592 0.27460321 0.14265463 0.00162447 0.04757874 0.10538021
 0.01472553 0.00304729]","[5.06386574e-01 4.88963141e-01 1.88363321e-03 4.89790338e-04
 5.20953795e-04 1.75590776e-03]",0.3491179406883193,0.3391196816567975
Fauré,3,C'est la Paix,,114.0,,,C'est la paix,1919,vocal,16,16,16,"[4.70303534e-01 5.29286581e-01 1.15767533e-04 1.66451443e-04
 8.54583318e-05 4.22069533e-05]","[1.63726103e-01 5.01665202e-01 5.76963827e-02 1.99147555e-01
 1.91017911e-03 7.49200090e-02 4.54515176e-04 4.80053769e-04]","[4.71245648e-01 5.26842384e-01 6.42888765e-04 5.81906050e-04
 2.99058345e-04 3.88114866e-04]",0.6433508822852633,1.3697867034604516
Fauré,3,Cello_sonata_2_117_mvt_1,Sonate pour violoncelle et piano n°2,117.0,,1.0,Sonate pour violoncelle et piano n°2,1921,chamber,19,19,23,[0.39993566 0.54390191 0.0047613  0.01427723 0.03394293 0.00318097],"[0.3375642  0.28818065 0.17344119 0.00226701 0.15628923 0.03821651
 0.00316274 0.00087847]",[0.68995514 0.29916113 0.00214936 0.00424646 0.00303941 0.0014485 ],0.6947417659015162,0.5893079462504639
