composer,periode,title_file,work_group,opus,no,mov,title,date,instruments,shift_binomial,shift_binomial_tritones,shift_gamma,weights_binomial,weights_binomial_tritones,weights_gamma,probs_binomial,rate_gamma
Fauré,3,nocturne-op-104-no-1-gabriel-faure,2 pièces,104.0,1.0,,Nocturne n°11,1913,piano,16,17,17,"[6.92229877e-01 3.85694652e-03 2.04612844e-01 2.26954969e-04
 4.70283273e-02 5.20450506e-02]","[0.33715756 0.17306964 0.02451373 0.13861472 0.17556553 0.13013527
 0.00059051 0.02035304]","[7.18286348e-01 1.88553517e-01 1.94726136e-02 7.42965817e-04
 6.16554477e-04 7.23280018e-02]",0.5456585470857099,0.860485812386401
Fauré,3,Nocturne_10_99,,99.0,,,Barcarolle n°10,1908,piano,17,16,18,[0.59189024 0.0410843  0.13283784 0.00163881 0.11626335 0.11628545],"[0.39182882 0.22403745 0.09472283 0.00120453 0.10667818 0.16362214
 0.0162419  0.00166415]",[0.56611401 0.41959073 0.00584939 0.00140881 0.00101903 0.00601803],0.3525466301595188,0.4546773726834354
Fauré,3,Nocturne_13_119,,119.0,,,Nocturne n°13,1921,piano,16,15,16,[0.45533359 0.4907454  0.00632422 0.00832871 0.02556745 0.01370064],"[0.27948915 0.32826997 0.21206411 0.00170157 0.12857592 0.04634339
 0.00143917 0.00211671]",[0.47409498 0.50249467 0.00342805 0.01022172 0.00762871 0.00213188],0.7858553352723773,0.6709691526437812
Fauré,3,Prelude_6_103,9 préludes,103.0,6.0,,Prélude,1910,piano,24,23,23,"[4.91142854e-01 4.82113044e-01 1.38214902e-04 2.44533283e-03
 2.40700455e-02 9.05089068e-05]","[4.39502475e-01 3.22151402e-01 1.84136106e-01 1.28249236e-03
 4.95757646e-02 7.59330434e-04 2.23860059e-03 3.53829465e-04]","[3.95412111e-01 5.80878227e-01 3.55077593e-04 3.93630529e-03
 1.92100018e-02 2.08277276e-04]",0.5652771306632889,1.6427250257583539
Fauré,3,Prélude 1,9 préludes,103.0,1.0,,Prélude,1910,piano,19,21,30,[0.0125268  0.75042909 0.00169968 0.07713009 0.13693958 0.02127476],"[0.03925538 0.22000312 0.31392102 0.09918026 0.16822547 0.00217919
 0.1563452  0.00089037]",[0.88919834 0.09778107 0.00302878 0.00442314 0.00324282 0.00232585],0.6678247471835329,0.5154231379402915
Fauré,3,Serenade_violoncelle_98,,98.0,,,Sérénade,1908,chamber,16,14,15,"[4.53867407e-01 5.06492186e-01 1.07182058e-04 3.81075302e-02
 1.33224112e-03 9.34540864e-05]","[2.52717812e-01 4.46168662e-01 2.47034729e-01 1.95024051e-03
 4.58640242e-02 4.74260949e-03 1.18384818e-03 3.38075011e-04]","[3.86078892e-01 5.88320254e-01 5.21114981e-04 1.10959623e-02
 1.36635700e-02 3.20206976e-04]",0.7389828919655872,1.4693011898946156
Fauré,3,Sonate pour violon et piano andante,Sonate pour violon et piano n°2,108.0,,2.0,Sonate pour violon et piano n°2,1917,chamber,16,16,14,[0.54940245 0.36526853 0.06810865 0.00672772 0.00722247 0.00327018],"[0.23785525 0.3769361  0.00429915 0.1050806  0.12504456 0.14268045
 0.00108709 0.00701682]",[0.41463048 0.57042181 0.007232   0.00228308 0.0015518  0.00388083],0.6886309390733683,0.5745126149781241
Fauré,3,String_quartet_121,Quatuor à cordes,121.0,,1.0,Quatuor à cordes,1924,chamber,16,16,17,[0.43513969 0.52789811 0.01080428 0.00363444 0.02018008 0.0023434 ],"[0.37462614 0.28028724 0.15086382 0.0036301  0.11656887 0.07044985
 0.00259744 0.00097655]",[0.5201661  0.47045316 0.00159383 0.00401344 0.00286369 0.00090979],0.743277410202513,0.506883854769162
Fauré,3,Trio Op. 120 - Andantino,Trio avec piano,120.0,,2.0,Trio avec piano,1923,chamber,19,20,18,[0.05692801 0.57383938 0.06437058 0.15256273 0.09717931 0.05511999],"[0.18158508 0.39503295 0.098944   0.14107333 0.14147037 0.03412596
 0.00383896 0.00392935]","[3.63093907e-01 6.05905881e-01 7.46531652e-04 1.05419196e-02
 1.91568720e-02 5.54888600e-04]",0.5005629846747207,0.728349498292988
Fauré,3,Le jardin clos,Le jardin clos,106.0,1.0,,Exaucement,1914,vocal,20,20,21,"[4.90671437e-01 1.43564712e-01 1.72383898e-01 1.38556233e-04
 9.68437892e-02 9.63976071e-02]","[0.4849772  0.14528952 0.17535182 0.00067187 0.09414852 0.09588076
 0.00317924 0.00050108]","[5.63054393e-01 4.34856276e-01 4.73105521e-04 6.35208677e-04
 7.39392090e-04 2.41624731e-04]",0.3141475004800303,0.42136292449718
Fauré,1,Les Matelots,2 mélodies,2.0,2.0,,Les Matelots,1870,vocal,15,16,15,"[6.04510542e-03 7.43656537e-01 2.25402498e-04 2.20477800e-01
 2.32244718e-02 6.37068282e-03]","[0.1678573  0.39718152 0.00040947 0.2481842  0.1700298  0.01472056
 0.00091721 0.00069994]","[1.15283944e-01 6.81773139e-01 4.37561792e-04 1.83728925e-01
 1.17640991e-02 7.01233222e-03]",0.3797487103220077,3.0392298164342417
Fauré,1,Automne,3 mélodies,18.0,3.0,,Automne,1878,vocal,18,18,18,[0.34381283 0.41887579 0.0090532  0.09942332 0.06614899 0.06268588],"[0.345743   0.42078552 0.00864962 0.09616053 0.06259122 0.06217072
 0.0032207  0.00067869]","[5.22186658e-01 4.74880502e-01 2.72239435e-04 7.86775916e-04
 1.54479813e-03 3.29026702e-04]",0.2832588001341548,0.5334192677552849
Fauré,1,La chanson du pêcheur,2 mélodies,4.0,1.0,,Chanson du pêcheur,1872,vocal,15,15,14,[0.33490313 0.36861908 0.02634698 0.00086968 0.18437194 0.0848892 ],"[0.33410461 0.36347982 0.02813774 0.00164774 0.18618931 0.0851372
 0.00066473 0.00063884]","[4.63880410e-01 5.33999112e-01 3.38094758e-04 9.99336296e-04
 5.04162846e-04 2.78883946e-04]",0.3344750396603386,0.9903809791060406
Fauré,1,Tristesse,3 mélodies,6.0,2.0,,Tristesse,1873,vocal,14,13,14,"[5.57833258e-01 1.17933700e-01 2.23162321e-01 1.21157751e-04
 4.61704327e-02 5.47791307e-02]","[1.63399026e-01 4.55556347e-01 1.09370686e-01 2.78727549e-04
 5.56298493e-02 2.14755216e-01 5.15453769e-04 4.94695115e-04]","[5.98048264e-01 2.14411619e-01 1.84767836e-01 4.02409176e-04
 1.75626411e-03 6.13606944e-04]",0.3277797374380776,0.7065001295348454
Fauré,1,Sérénade Toscane,2 mélodies,3.0,2.0,,Sérénade Toscane,1878,vocal,15,15,15,"[2.42706584e-01 4.04925227e-01 2.04670923e-04 2.32525884e-01
 1.76866235e-02 1.01951011e-01]","[0.24346324 0.40443647 0.00061205 0.23304732 0.01640177 0.10011275
 0.00057788 0.00134852]","[5.51849129e-01 4.29081510e-01 1.63049212e-03 4.97263688e-04
 3.06915945e-04 1.66346901e-02]",0.2981686190858629,0.9334702547615465
Fauré,1,Au bord de l'eau,3 mélodies,8.0,1.0,,Au bord de l'eau,1875,vocal,20,19,23,"[4.64225975e-01 5.34598393e-01 1.68649273e-04 6.76803997e-04
 1.79566896e-04 1.50610946e-04]","[0.2308167  0.44777444 0.00746592 0.00054189 0.06207934 0.24904478
 0.00110156 0.00117538]","[6.71952120e-01 3.25355617e-01 5.60964909e-04 1.03830330e-03
 7.79052827e-04 3.13941844e-04]",0.8308771518594636,1.321481396750136
Fauré,1,Les berceaux,3 mélodies,23.0,1.0,,Les Berceaux,1879,vocal,22,23,21,"[3.97200863e-01 5.52769291e-01 1.19614477e-04 4.95391061e-02
 2.73696884e-04 9.74290564e-05]","[1.66193407e-01 4.85080198e-01 4.38106782e-02 2.18610949e-01
 8.30486260e-02 2.27956455e-03 5.15808942e-04 4.60769334e-04]","[3.58142985e-01 6.20262744e-01 3.83313118e-04 6.95597923e-03
 1.40020717e-02 2.52907535e-04]",0.6149687126399209,1.7185204127226594
Fauré,1,Puisqu'ici bas tout âme,2 duos,10.0,1.0,,Pusiqu'ici-bas,1873,vocal,17,16,16,"[5.59579430e-01 1.75861359e-01 7.02168996e-02 8.23403071e-05
 8.10196609e-02 1.13240311e-01]","[0.26698413 0.46384538 0.00538972 0.00149883 0.08445877 0.17649687
 0.00060492 0.00072137]",[0.39354066 0.58904877 0.00209653 0.00499096 0.00943154 0.00089153],0.4169834245491133,0.5230048621029479
